Gene,Drug,Interaction Score,Interaction Type,category
RGS4,CLOMIPRAMINE,0.0134684722804142,Unknown,antidepressant
AMD1,DOXEPIN HYDROCHLORIDE,0.0136373559453723,inhibitor (INHIBITORY),antidepressant
AMD1,AMITRIPTYLINE HYDROCHLORIDE,0.0133343035910307,inhibitor (INHIBITORY),antidepressant
TPH2,MIRTAZAPINE,0.4350316546573794,Unknown,antidepressant
TPH2,ANTIDEPRESSANT AGENT,0.1673198671759151,Unknown,antidepressant
GRIA3,CITALOPRAM,0.0710255762705925,Unknown,antidepressant
GRIA3,ANTIDEPRESSANT AGENT,0.0478056763359757,Unknown,antidepressant
GRIA3,VENLAFAXINE,0.2071579307892283,Unknown,antidepressant
ANK2,"2-METHOXY-&ALPHA;,&BETA;-DIDEHYDRO-AGOMELATINE",1.410913474564473,agonist (ACTIVATING),antidepressant
ANK2,AGOMELATINE,0.1763641843205592,agonist (ACTIVATING),antidepressant
HTR2A,MINAPRINE HYDROCHLORIDE,0.0557732890586383,inhibitor (INHIBITORY),antidepressant
HTR2A,MIANSERIN,0.0557732890586383,Unknown,antidepressant
HTR2A,DOXEPIN HYDROCHLORIDE,0.0228163455239884,Unknown,antidepressant
HTR2A,MINAPRINE,0.1673198671759151,inhibitor (INHIBITORY),antidepressant
HTR2A,DESIPRAMINE,0.0128707590135319,Unknown,antidepressant
HTR2A,FLUOXETINE HYDROCHLORIDE,0.0179271286259909,Unknown,antidepressant
HTR2A,TRAZODONE,0.1003919203055491,inhibitor (INHIBITORY),antidepressant
HTR2A,AMITRIPTYLINE HYDROCHLORIDE,0.0111546578117276,Unknown,antidepressant
HTR2A,VORTIOXETINE HYDROBROMIDE,0.0386122770405958,Unknown,antidepressant
HTR2A,TRIMIPRAMINE MALEATE,0.0627449501909682,inhibitor (INHIBITORY),antidepressant
HTR2A,TRIMIPRAMINE,0.0152108970159922,Unknown,antidepressant
HTR2A,NEFAZODONE,0.0717085145039636,Unknown,antidepressant
HTR2A,NEFAZODONE HYDROCHLORIDE,0.0836599335879575,inhibitor (INHIBITORY),antidepressant
HTR2A,MIRTAZAPINE,0.0752939402291618,inhibitor (INHIBITORY),antidepressant
RORA,CITALOPRAM,0.745768550841222,Unknown,antidepressant
CRH,ANTIDEPRESSANT AGENT,0.2509798007638728,Unknown,antidepressant
CYP2C18,CITALOPRAM,0.4971790338941479,Unknown,antidepressant
CYP2C18,SERTRALINE HYDROCHLORIDE,0.8700633093147588,Unknown,antidepressant
CFL1,SERTRALINE HYDROCHLORIDE,0.6525474819860692,Unknown,antidepressant
ATP10A,DULOXETINE HYDROCHLORIDE,2.007838406110982,Unknown,antidepressant
GNAS,AMITRIPTYLINE HYDROCHLORIDE,0.0331452689262765,Unknown,antidepressant
IGF2,FLUOXETINE HYDROCHLORIDE,0.2071579307892283,Unknown,antidepressant
CP,TRANYLCYPROMINE,0.2762105743856377,inhibitor (INHIBITORY),antidepressant
RABEP1,MIRTAZAPINE,0.4745799868989593,Unknown,antidepressant
MPHOSPH8,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",0.0176962029013171,Unknown,antidepressant
HTR4,MIANSERIN,0.1487287708230356,Unknown,antidepressant
HTR4,FLUOXETINE HYDROCHLORIDE,0.0956113526719515,Unknown,antidepressant
ERICH3,CITALOPRAM,0.9943580677882958,Unknown,antidepressant
ERICH3,ANTIDEPRESSANT AGENT,1.338558937407321,Unknown,antidepressant
KDM1A,TRANYLCYPROMINE,2.983074203364888,Unknown,antidepressant
KDM1A,TRANYLCYPROMINE HYDROCHLORIDE,5.220379855888553,Unknown,antidepressant
IL1B,ANTIDEPRESSANT AGENT,0.03936938051198,Unknown,antidepressant
GRIK2,TRIMIPRAMINE,0.0687797082462259,Unknown,antidepressant
GRIK2,CITALOPRAM,0.129698878407169,Unknown,antidepressant
GRIK2,CLOMIPRAMINE,0.0597297466348804,Unknown,antidepressant
GRIK2,NORTRIPTYLINE,0.0709290741289205,Unknown,antidepressant
GRIK2,AMITRIPTYLINE HYDROCHLORIDE,0.050438452713899,Unknown,antidepressant
GRIK2,DESIPRAMINE,0.0581982146698835,Unknown,antidepressant
GRIK2,DOXEPIN HYDROCHLORIDE,0.0515847811846695,Unknown,antidepressant
GAL,ANTIDEPRESSANT AGENT,0.2509798007638728,Unknown,antidepressant
GAL,MIRTAZAPINE,0.6525474819860692,Unknown,antidepressant
GNA11,PHENELZINE,0.372884275420611,inhibitor (INHIBITORY),antidepressant
CHL1,ANTIDEPRESSANT AGENT,2.007838406110982,Unknown,antidepressant
TGFBR3,ANTIDEPRESSANT AGENT,0.2509798007638728,Unknown,antidepressant
HTR2B,AGOMELATINE,0.2718947841608621,Unknown,antidepressant
HTR2B,MINAPRINE HYDROCHLORIDE,0.241684252587433,inhibitor (INHIBITORY),antidepressant
HTR2B,DOXEPIN HYDROCHLORIDE,0.0494354153019749,Unknown,antidepressant
HTR2B,MINAPRINE,0.966737010349732,inhibitor (INHIBITORY),antidepressant
SERPINA3,MIANSERIN,0.0508808952815648,inhibitor (INHIBITORY),antidepressant
SERPINA3,VORTIOXETINE HYDROBROMIDE,0.070450470389859,inhibitor (INHIBITORY),antidepressant
PON2,ANTIDEPRESSANT AGENT,2.007838406110982,Unknown,antidepressant
RFK,CITALOPRAM,2.983074203364888,Unknown,antidepressant
ADCY9,ANTIDEPRESSANT AGENT,0.4015676812221964,Unknown,antidepressant
GSK3B,CITALOPRAM,0.0648494392035845,Unknown,antidepressant
GSK3B,FLUOXETINE HYDROCHLORIDE,0.0810617990044806,Unknown,antidepressant
CACNG2,TRIMIPRAMINE,0.0930548993919528,Unknown,antidepressant
CACNG2,AMITRIPTYLINE HYDROCHLORIDE,0.0682402595540987,Unknown,antidepressant
CACNG2,CLOMIPRAMINE,0.0808108336824853,Unknown,antidepressant
CACNG2,DOXEPIN HYDROCHLORIDE,0.0697911745439646,Unknown,antidepressant
CACNG2,DESIPRAMINE,0.07873876102396,Unknown,antidepressant
CACNG2,NORTRIPTYLINE,0.0959628649979513,Unknown,antidepressant
GNRH1,ANTIDEPRESSANT AGENT,0.1056757055847885,Unknown,antidepressant
SERPINE1,ANTIDEPRESSANT AGENT,0.05905407076797,Unknown,antidepressant
SERPINE1,CITALOPRAM,0.0877374765695555,Unknown,antidepressant
SERPINE1,FLUOXETINE HYDROCHLORIDE,0.1096718457119444,Unknown,antidepressant
INVS,DULOXETINE HYDROCHLORIDE,4.015676812221964,Unknown,antidepressant
IFNG,AMITRIPTYLINE HYDROCHLORIDE,0.0828631723156913,Unknown,antidepressant
AR,CLOMIPRAMINE HYDROCHLORIDE,0.0193562471482704,Unknown,antidepressant
AR,NEFAZODONE HYDROCHLORIDE,0.0096781235741352,Unknown,antidepressant
AR,MOCLOBEMIDE,0.0116137482889622,Unknown,antidepressant
AR,NORTRIPTYLINE HYDROCHLORIDE,0.0096781235741352,Unknown,antidepressant
AR,MAPROTILINE HYDROCHLORIDE,0.0082955344921159,Unknown,antidepressant
AR,FLUOXETINE HYDROCHLORIDE,0.0020738836230289,Unknown,antidepressant
AR,PHENELZINE SULFATE,0.0082955344921159,Unknown,antidepressant
AR,SERTRALINE HYDROCHLORIDE,0.0029034370722405,Unknown,antidepressant
AR,DULOXETINE HYDROCHLORIDE,0.0022334131324927,Unknown,antidepressant
AR,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",0.0023227496577924,Unknown,antidepressant
REEP5,SERTRALINE HYDROCHLORIDE,1.305094963972138,Unknown,antidepressant
REEP5,FLUOXETINE HYDROCHLORIDE,0.9322106885515274,Unknown,antidepressant
REEP5,CITALOPRAM,0.745768550841222,Unknown,antidepressant
REEP5,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",1.04407597117771,Unknown,antidepressant
HTR3A,MIANSERIN,0.1288982680466309,Unknown,antidepressant
HTR3A,VORTIOXETINE HYDROBROMIDE,0.1784745249876428,inhibitor (INHIBITORY),antidepressant
HTR3A,MIRTAZAPINE,0.1160084412419678,Unknown,antidepressant
SLC22A3,ANTIDEPRESSANT AGENT,0.5019596015277455,Unknown,antidepressant
A2M,VORTIOXETINE HYDROBROMIDE,0.0483816483400236,agonist (ACTIVATING),antidepressant
BDNF,NORTRIPTYLINE,0.0265263204059377,Unknown,antidepressant
BDNF,DOXEPIN HYDROCHLORIDE,0.0096459346930682,Unknown,antidepressant
BDNF,AMITRIPTYLINE HYDROCHLORIDE,0.0094315805887778,Unknown,antidepressant
BDNF,TRIMIPRAMINE,0.0128612462574243,Unknown,antidepressant
BDNF,IMIPRAMINE HYDROCHLORIDE,0.0424421126495004,Unknown,antidepressant
BDNF,ANTIDEPRESSANT AGENT,0.016323889480577,Unknown,antidepressant
BDNF,VENLAFAXINE,0.070736854415834,Unknown,antidepressant
BDNF,CLOMIPRAMINE,0.0111689770130264,Unknown,antidepressant
BDNF,DESIPRAMINE,0.0217651859741027,Unknown,antidepressant
IDH1,PROTRIPTYLINE HYDROCHLORIDE,0.0422360829764446,Unknown,antidepressant
IDH1,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",0.0050683299571733,Unknown,antidepressant
IDH1,MAPROTILINE HYDROCHLORIDE,0.0181011784184762,Unknown,antidepressant
IDH1,SERTRALINE HYDROCHLORIDE,0.0063354124464666,Unknown,antidepressant
IDH1,NORTRIPTYLINE HYDROCHLORIDE,0.0211180414882223,Unknown,antidepressant
NBEA,ANTIDEPRESSANT AGENT,1.003919203055491,Unknown,antidepressant
MTRF1L,ANTIDEPRESSANT AGENT,2.007838406110982,Unknown,antidepressant
ANK3,AGOMELATINE,0.1450105515524598,agonist (ACTIVATING),antidepressant
ANK3,ISOAMYL-AGOMELATINE,1.160084412419678,agonist (ACTIVATING),antidepressant
ANK3,(HYDROXYMETHYLPHENYL)AGOMELATINE,1.160084412419678,inhibitor (INHIBITORY),antidepressant
EPHX1,AMITRIPTYLINE HYDROCHLORIDE,0.0892372624938214,Unknown,antidepressant
EPHX1,CLOMIPRAMINE,0.1056757055847885,Unknown,antidepressant
EPHX1,TRIMIPRAMINE,0.1216871761279383,Unknown,antidepressant
EPHX1,DESIPRAMINE,0.1029660721082554,Unknown,antidepressant
EPHX1,DOXEPIN HYDROCHLORIDE,0.0912653820959537,Unknown,antidepressant
EPHX1,NORTRIPTYLINE,0.1254899003819364,Unknown,antidepressant
CYP2B6,DESIPRAMINE,0.0209149833969893,Unknown,antidepressant
CYP2B6,DOXEPIN HYDROCHLORIDE,0.0185382807382406,Unknown,antidepressant
CYP2B6,CLOMIPRAMINE,0.0214653776969101,Unknown,antidepressant
CYP2B6,TRIMIPRAMINE,0.0247177076509874,Unknown,antidepressant
NEDD4L,CITALOPRAM,0.9943580677882958,Unknown,antidepressant
PPARD,FLUOXETINE HYDROCHLORIDE,0.0140182058428801,Unknown,antidepressant
PPARD,CLOMIPRAMINE,0.01032920430528,Unknown,antidepressant
CYP3A4,PHENELZINE,0.0083419300988951,Unknown,antidepressant
CYP3A4,MAPROTILINE,0.0044918085147896,Unknown,antidepressant
CYP3A4,FLUOXETINE HYDROCHLORIDE,0.0041709650494475,Unknown,antidepressant
CYP3A4,AMITRIPTYLINE HYDROCHLORIDE,0.0025952671418784,Unknown,antidepressant
CYP3A4,TRIMIPRAMINE,0.001769500324008,Unknown,antidepressant
CYP3A4,SERTRALINE HYDROCHLORIDE,0.0029196755346132,Unknown,antidepressant
CYP3A4,IMIPRAMINE HYDROCHLORIDE,0.0116787021384531,Unknown,antidepressant
CYP3A4,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",0.0023357404276906,Unknown,antidepressant
CYP3A4,MAPROTILINE HYDROCHLORIDE,0.0083419300988951,Unknown,antidepressant
CYP3A4,DOXEPIN HYDROCHLORIDE,0.001327125243006,Unknown,antidepressant
CYP3A4,REBOXETINE,0.0194645035640885,Unknown,antidepressant
CYP3A4,DESIPRAMINE,0.0029945390098597,Unknown,antidepressant
CYP3A4,PHENELZINE SULFATE,0.0083419300988951,Unknown,antidepressant
CYP3A4,MIANSERIN,0.0064881678546961,Unknown,antidepressant
CYP3A4,CLOMIPRAMINE,0.0030733426680139,Unknown,antidepressant
CYP3A4,FLUVOXAMINE,0.0089836170295793,Unknown,antidepressant
C1QBP,FLUOXETINE HYDROCHLORIDE,0.1165263360689409,blocker (INHIBITORY),antidepressant
